Comment,Designator,Footprint,LCSC Part # (optional)
STM32F042K6U6,"U1",UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5,C110616
CC2500,"U2",QFN-20_L4.0-W4.0-P0.50-TL-EP2.7,C57494
MCP1703AT-3302E/CB,"U3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C144183
16MHZ_9pF,"X1",OSC-SMD_4P-L3.2-W2.5-BL,C13738
26MHZ_8pF,"X2",OSC-SMD_4P-L3.2-W2.5-BL,C156251
BLUE-LED,"LED1",LED-SMD_L1.6-W0.8-R-RD,C375446
SKRPACE010,"SW1",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,C139797
1uF,"C1,C2,C9",C0402,C52923
100nF,"C3,C4,C10,C11,C12,C15,C16",C0402,C1525
4.7uF,"C5",C0402,C23733
13pF,"C6,C7",C0402,C326790
10nF,"C8",C0402,C15195
220pF,"C13, C14, C17",C0402,C1530
11pF,"C18, C19",C0402,C527000
100pF,"C20, C21",C0402,C343043
1pF,"C22, C23",C0402,C147337
1.8pF,"C24",C0402,C301970
1.5pF,"C25",C0402,C338137
10KOHMS,"R1",R0402,C25744
56KOHMS,"R2",R0402,C173699
27.4OHMS,"R3",R0402,C274349
5.1KOHMS,"R4",R0402,C25905
1.2nH,"L1,L2,L3",L0402,C162537
